Personnage,Masque,Superpouvoirs,Sexe,Mechant,PersonnagePrincipal,AvoirTravaille,PorterCape,Transformation,DCComics,Marvel,XMen,4Fantastiques,Serie,Film,Rouge,Bleue,Noire,Verte
Angels,Non,Oui,H,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Oui,Non,Oui,Non,Non
AntMan,Oui,Oui,H,Non,Oui,Oui,Non,Oui,Non,Oui,Non,Non,Non,Oui,Oui,Non,Oui,Non
Arrow,Non,Non,H,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui
Batman,Oui,Non,H,Non,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Oui,Non
BlackPanther,Oui,Oui,H,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non
CaptainAmerica,Oui,Oui,H,Non,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,Non
Catwoman,Oui,Non,F,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non
Cyclope,Oui,Oui,H,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Oui,Non,Non,Oui,Non
Daredevil,Oui,Non,H,Non,Oui,Oui,Non,Non,Non,Oui,Non,Non,Oui,Oui,Oui,Non,Non,Non
Deadpool,Oui,Oui,H,Non,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non
Electra,Oui,Non,F,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non
Firefly,Oui,Non,H,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non
Flash,Oui,Oui,H,Non,Oui,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,Non,Non
GhostRider,Oui,Oui,H,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non
GreenLantern,Oui,Oui,H,Non,Oui,Non,Oui,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Oui
Havok,Non,Oui,H,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non
Hulk,Non,Oui,H,Non,Oui,Oui,Non,Oui,Non,Oui,Non,Non,Oui,Oui,Non,Oui,Non,Non
Iceberg,Non,Oui,H,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Oui,Non,Oui,Non,Non
IronMan ,Oui,Non,H,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non
JeanGrey,Non,Oui,F,Non,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Oui,Non,Oui,Non,Non
LaChose,Non,Oui,H,Non,Non,Non,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Non,Oui,Non
LaFemmeInvisible,Non,Oui,F,Non,Non,Non,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Oui,Non
LaTorche,Non,Oui,H,Non,Non,Non,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Oui,Non,Non,Non
LaVeuveNoire,Non,Non,F,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non
LeBouffonVert,Oui,Oui,H,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui
LeFaucon,Oui,Oui,H,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non
LeFauve,Non,Oui,H,Non,Non,Oui,Non,Oui,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non
LeSurferArgent,Non,Oui,H,Non,Non,Non,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Non,Non,Non
LexLuthor,Non,Non,H,Oui,Non,Oui,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Oui,Oui,Oui
Loki,Non,Oui,H,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui
Magneto,Non,Oui,H,Oui,Non,Oui,Oui,Non,Non,Oui,Oui,Non,Non,Oui,Oui,Non,Oui,Non
Malicia,Non,Oui,F,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Oui
MrFantastique,Non,Oui,H,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Non
Mystique,Non,Oui,F,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non
Nova,Oui,Oui,H,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non
OeilFaucon,Oui,Non,H,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,Non,Oui,Non
Polaris,Non,Oui,F,Oui,Non,Non,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui
Professeur Xavier,Non,Oui,H,Non,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non
RedArrow,Non,Non,H,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,Oui,Non
Robin,Oui,Non,H,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Oui,Oui,Non,Non,Oui
Sandman,Non,Oui,H,Oui,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Oui,Oui
Spectre,Non,Oui,H,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui
Spiderman,Oui,Oui,H,Non,Oui,Oui,Non,Non,Non,Oui,Non,Non,Oui,Oui,Oui,Oui,Non,Non
SuperMan,Non,Oui,H,Non,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Non
Thor,Non,Oui,H,Non,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Non,Oui,Oui,Non,Oui,Non
Tornade,Non,Oui,F,Non,Non,Oui,Oui,Non,Non,Oui,Oui,Non,Non,Oui,Non,Non,Oui,Non
Venom,Oui,Oui,H,Oui,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non
Wolverine,Oui,Oui,H,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non
WonderWoman,Non,Oui,F,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Oui,Non,Non
